date,state,avgLoans,totalLoans,avgTerm,avgIntRate,avgGrade,avgEmpLength,avgAnnualInc,avgVerifStatus,avgHomeOwner,avgOpenAcc,avgRevolBal,avgRevolUtil,avgTotalAcc,countOfLoans
2011-06-01,MN,8965.277777777777,322750,39.333333333333336,11.182777777777778,2.1944444444444446,4.944444444444445,52897.694444444445,0.6388888888888888,0.05555555555555555,8.11111111111111,9514.166666666666,42.91111111111111,20.22222222222222,36
2011-07-01,MN,9772.5,195450,42,9.5785,1.9,5.055555555555555,69725.8,0.4,0.2,9.95,16812.75,27.105263157894736,23.5,20
2011-08-01,MN,12891.129032258064,399625,39.87096774193548,11.990967741935483,2.4838709677419355,5.129032258064516,72855.03225806452,0.6129032258064516,0.03225806451612903,8.806451612903226,11123.58064516129,48.803225806451614,24.322580645161292,31
2011-09-01,MN,12162.5,340550,45.42857142857143,11.165,2.25,5.2592592592592595,61653.142857142855,0.7142857142857143,0.07142857142857142,11.714285714285714,17278.964285714286,44.18214285714286,26.357142857142858,28
2011-10-01,MN,11539.814814814816,311575,43.111111111111114,11.545555555555556,2.2222222222222223,5.5,79939.07703703703,0.5925925925925926,0.07407407407407407,10.407407407407407,21220.74074074074,49.355555555555554,27,27
2011-11-01,MN,11402.380952380952,478900,42.285714285714285,12.301904761904762,2.4523809523809526,5.82051282051282,53467.95238095238,0.6904761904761905,0.07142857142857142,10.119047619047619,10096.166666666666,50.445238095238096,23.857142857142858,42
2011-12-01,MN,10507.35294117647,357250,43.05882352941177,13.241176470588234,2.823529411764706,5.40625,50868.28088235294,0.6176470588235294,0.08823529411764706,9.029411764705882,13489.323529411764,65.05294117647058,20.147058823529413,34
2012-01-01,MN,12172.972972972973,450400,42.486486486486484,12.532972972972972,2.4324324324324325,5.4324324324324325,55891.16216216216,0.6756756756756757,0.08108108108108109,9.45945945945946,12942.864864864865,60.88055555555555,20.83783783783784,37
2012-02-01,MN,13167.682926829268,539875,38.34146341463415,11.79560975609756,2.2439024390243905,6.175,63666.21951219512,0.6829268292682927,0.024390243902439025,9.365853658536585,15539.292682926829,58.9,22.70731707317073,41
2012-03-01,MN,13762.857142857143,481700,40.8,12.578285714285714,2.342857142857143,6.828571428571428,59145.54285714286,0.6571428571428571,0.14285714285714285,9.82857142857143,16702.8,63.917142857142856,21.65714285714286,35
2012-04-01,MN,15066.037735849057,798500,40.528301886792455,14.021132075471698,2.792452830188679,6.288461538461538,68066.90490566038,0.5849056603773585,0.07547169811320754,10.49056603773585,17042.283018867925,64.89811320754717,23.037735849056602,53
2012-05-01,MN,11761.979166666666,564575,38.5,12.856666666666666,2.2708333333333335,6.111111111111111,55278.61041666667,0.4375,0.0625,9.770833333333334,12693.833333333334,61.03333333333333,20.625,48
2012-06-01,MN,12877.04918032787,785500,38.75409836065574,13.314918032786885,2.622950819672131,5.5,59098.46147540984,0.5573770491803278,0.01639344262295082,11.508196721311476,15429.196721311475,56.82295081967213,24.672131147540984,61
